"listS","listShat"
"{1,2}, {3,4}","5"
"{1,2}, {3,4}","{1,3}, {6,7}"
"{1,2}, {3,4}","{1,2}, {3,4}"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","{2,7}"
"{1,2}, {3,4}","{4,9}"
"{1,2}, {3,4}","{4,10}, 3"
"{1,2}, {3,4}","{1,7}, 8"
"{1,2}, {3,4}","{1,8}, 2"
"{1,2}, {3,4}","{6,7}"
"{1,2}, {3,4}","{5,10}, {8,9}"
"{1,2}, {3,4}","{5,6}, {7,8}"
"{1,2}, {3,4}","{2,4}, {9,10}"
"{1,2}, {3,4}","{1,6}, {5,9}"
"{1,2}, {3,4}","{1,8}, {3,4}"
"{1,2}, {3,4}","{4,9}, {5,7}"
"{1,2}, {3,4}","{2,8}"
"{1,2}, {3,4}","{1,2}, {8,10}, 5, 4"
"{1,2}, {3,4}","{1,10}, {8,9}, 4"
"{1,2}, {3,4}","{5,6}, {7,10}"
"{1,2}, {3,4}","{1,2}"
"{1,2}, {3,4}","{7,8}, 6"
"{1,2}, {3,4}","{1,4}, {2,8}, 5"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","{2,6}, {3,4}"
"{1,2}, {3,4}","{1,2}, {3,9}, {4,6}"
"{1,2}, {3,4}","{1,7}, 2"
"{1,2}, {3,4}","{3,5}"
"{1,2}, {3,4}","{1,9}"
"{1,2}, {3,4}","{3,8}"
"{1,2}, {3,4}","{4,8}"
"{1,2}, {3,4}","{6,8}"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","1"
"{1,2}, {3,4}","{1,6}"
"{1,2}, {3,4}","{2,6}"
"{1,2}, {3,4}","{1,2}"
"{1,2}, {3,4}","{1,2}, {3,6}"
"{1,2}, {3,4}","10"
"{1,2}, {3,4}","{7,9}, 1"
"{1,2}, {3,4}","{1,9}"
"{1,2}, {3,4}","{1,2}"
"{1,2}, {3,4}","{1,2}"
"{1,2}, {3,4}","{1,2}, 4"
"{1,2}, {3,4}","{3,4}, {5,7}"
"{1,2}, {3,4}","{1,4}"
"{1,2}, {3,4}","{1,2}, 8, 10"
"{1,2}, {3,4}","{3,4}, 8"
"{1,2}, {3,4}","{3,4}, {6,8}"
"{1,2}, {3,4}","{8,9}"
"{1,2}, {3,4}","{1,7}, {6,8}"
"{1,2}, {3,4}","{1,10}, {7,9}"
"{1,2}, {3,4}","{3,5}"
"{1,2}, {3,4}","{2,5}, {3,6}"
"{1,2}, {3,4}","{8,9}, 4"
"{1,2}, {3,4}","{1,2}, 3"
"{1,2}, {3,4}","{1,9}"
"{1,2}, {3,4}","{3,5}, {8,9}, 1, 6"
"{1,2}, {3,4}","{1,2}, {7,10}, {8,9}"
"{1,2}, {3,4}","{3,4}, {7,10}"
"{1,2}, {3,4}","{1,2}, {7,9}"
"{1,2}, {3,4}","{5,8}"
"{1,2}, {3,4}","{7,8}, 6"
"{1,2}, {3,4}","{5,9}, 2"
"{1,2}, {3,4}","{2,10}"
"{1,2}, {3,4}","1"
"{1,2}, {3,4}","{1,2}, 10"
"{1,2}, {3,4}","{3,4}, {5,6}, {8,10}"
"{1,2}, {3,4}","{3,4}, 8"
"{1,2}, {3,4}","{1,2}, {8,9}"
"{1,2}, {3,4}","{1,5}"
"{1,2}, {3,4}","{1,2}, {3,4}"
"{1,2}, {3,4}","{1,2}, {3,4}, 10"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","3"
"{1,2}, {3,4}","{1,5}, {6,10}, 8, 7"
"{1,2}, {3,4}","{4,9}"
"{1,2}, {3,4}","2"
"{1,2}, {3,4}","{4,8}"
"{1,2}, {3,4}","{6,8}"
"{1,2}, {3,4}","{6,9}, {8,10}"
"{1,2}, {3,4}","{1,2}, {4,5}"
"{1,2}, {3,4}","{1,2}, {4,7}, 5"
"{1,2}, {3,4}","{5,7}, 2"
"{1,2}, {3,4}","{1,7}, 10"
"{1,2}, {3,4}","{1,9}, {3,4}, 2, 10"
"{1,2}, {3,4}","6"
"{1,2}, {3,4}","{2,7}"
"{1,2}, {3,4}","9"
"{1,2}, {3,4}","{3,7}"
"{1,2}, {3,4}","3"
"{1,2}, {3,4}","{6,7}"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","7"
"{1,2}, {3,4}","{3,4}"
"{1,2}, {3,4}","{5,9}"
"{1,2}, {3,4}","{1,2}"
"{1,2}, {3,4}","{1,2}, 6, 7"
"{1,2}, {3,4}","{3,10}, {4,7}"
